trial,fast_score,full_net,full_trades,full_pf,full_dd,oos_net,oos_trades,oos_pf,oos_dd,rsi_period,rsi_overbought,rsi_oversold,rsi_target_buy,rsi_target_sell,bars_to_wait,use_trailing,trail_distance_pts,trail_activation_pts,lot_size
378,5.161117796834841,41881.700000000405,2625,1.2971867744480856,15.691408803226462,29571.999999999978,939,1.4556703000718052,19.12467611321743,12,78.0,48.0,85.5,47.7,6,False,55,35,0.1
3,4.974934412760322,39601.00000000044,2588,1.3121088885736363,15.441007359705205,28076.29999999998,893,1.485798723399102,14.68496443954723,14,73.5,45.9,91.5,20.0,4,False,55,70,0.1
203,4.933443753922031,39820.30000000039,2525,1.3513860761448404,13.014105949236699,26291.59999999999,919,1.492649125502644,13.760901401062265,16,13.4,52.5,85.5,8.4,6,False,120,35,0.1
305,4.805006384483194,39833.800000000425,2671,1.291327347418786,19.67424946850515,28701.600000000028,921,1.482606129596905,16.22879386474551,12,69.8,41.4,91.2,42.8,3,False,120,20,0.1
319,4.775803225820434,40299.00000000034,1800,1.3771097145124407,12.817827896361578,25263.800000000025,655,1.4827997408638254,16.489139515455275,14,68.1,53.3,86.8,40.4,12,False,120,90,0.1
449,4.770091820280188,41275.9000000002,1596,1.3713417673233597,17.968440675729067,27951.999999999978,561,1.536203109563682,20.908101881479617,21,64.5,42.0,81.1,43.8,4,False,40,70,0.1
533,4.752283649257773,39717.7000000002,1429,1.3964360610019886,16.469204580625103,27408.899999999994,503,1.6124360111632736,18.421457510641595,21,65.5,44.4,87.5,55.7,6,False,150,20,0.1
323,4.734915428791701,42172.700000000164,1005,1.4849722282914946,22.644298106462013,29143.000000000015,353,1.7766102878278733,21.601815278594838,21,68.1,45.1,81.4,60.7,12,False,40,55,0.1
136,4.71941101166855,39549.300000000105,731,1.5142229699860108,21.905144862886058,28877.499999999993,246,1.9441812409472699,16.524820746682785,21,68.6,42.8,90.2,45.8,12,False,120,55,0.1
414,4.70049666051041,39141.400000000365,1848,1.387142272168888,9.322568103666006,23342.90000000001,664,1.4699332431431293,14.648834780174983,14,62.4,55.5,89.8,23.2,12,False,120,35,0.1
118,4.654253557882403,39078.50000000024,1283,1.3715300819717313,22.158669358317148,29348.899999999994,443,1.6821724345519926,18.33438111204248,12,78.3,41.9,91.6,39.6,8,False,150,35,0.1
154,4.586972004349887,39510.30000000039,2785,1.310699836040437,23.120508094849015,27946.899999999972,997,1.4762463872832357,14.084752291351204,10,6.7,55.9,89.2,1.7,8,False,40,41,0.1
233,4.582771913479764,38932.400000000394,2158,1.3556266013856981,11.97871416159821,24244.4,789,1.4653444632331343,17.104075500154256,16,13.1,52.5,87.0,8.1,8,False,40,20,0.1
420,4.550439497393796,37694.40000000061,3781,1.2969238997807828,12.92028127885054,26741.900000000045,1387,1.4413335445774602,23.298521473832377,18,69.2,51.9,77.4,57.2,3,False,90,55,0.1
182,4.5002981730008464,38775.50000000022,1894,1.3518216915350687,10.298102981029588,23538.699999999997,702,1.4326028545278775,19.48281906391678,18,80.2,50.2,84.3,45.6,8,False,40,35,0.1
395,4.482761088854235,39765.700000000434,2394,1.333114974370746,15.319860795721233,23946.800000000032,849,1.4268196174329657,15.55449780944188,10,14.4,58.1,93.3,9.4,12,False,55,20,0.1
272,4.479392583117223,39935.600000000166,919,1.4803883948279781,22.04254617155142,27810.000000000007,315,1.7752305342149572,20.708435158578826,21,70.0,45.1,88.9,38.4,12,False,55,41,0.1
167,4.425740711078459,37206.00000000041,2634,1.3278529622730317,13.60189632277182,24695.99999999997,944,1.459823190758849,17.305609347818983,21,77.6,47.4,87.7,28.1,3,False,90,90,0.1
157,4.422985572561005,38041.00000000029,1523,1.3911079764806742,11.030935690338199,22969.700000000004,543,1.485705646269724,17.065888579765247,18,78.9,51.4,85.0,56.6,12,False,55,90,0.1
205,4.41867858817046,37078.10000000059,3104,1.346335594718018,12.84095996756033,23665.800000000017,1127,1.4590469835629307,14.533984745520451,16,7.3,54.2,85.7,2.3,4,False,40,70,0.1
442,4.418563730194263,39547.8000000004,2798,1.313382452459102,20.382626257112094,25113.999999999956,996,1.4288351237037522,13.257616747498835,10,10.4,56.3,93.9,5.4,8,False,55,90,0.1
247,4.380503656017046,36563.70000000048,2350,1.314917084245576,9.50100162403215,22734.300000000007,854,1.4058631037923994,16.409309072775933,10,7.3,59.9,87.0,2.3,12,False,71,41,0.1
253,4.327222508013304,37344.00000000018,1433,1.3534894111254896,21.946824680044756,27958.399999999958,488,1.6262619474814806,20.010571974938216,18,72.3,40.2,89.9,48.4,4,False,150,35,0.1
229,4.3265052185455035,35677.40000000047,2495,1.3207202348044593,14.10788033441861,24490.599999999984,898,1.4682124244359223,15.40673547874271,21,64.9,49.5,86.9,25.2,4,False,150,55,0.1
249,4.319783183661498,35786.30000000032,1706,1.4054484583094942,12.546871584469615,23549.000000000007,627,1.5645983030163535,15.12666361715568,18,71.9,56.4,87.5,41.7,12,False,120,90,0.1
299,4.3147684029214535,40604.40000000023,1454,1.387277685207882,18.484236328591024,24804.9,515,1.5023583902594122,21.390486147412496,14,67.9,49.4,91.1,39.2,12,False,71,70,0.1
46,4.30766648125094,37223.60000000045,2741,1.3098635633360807,13.99551398704904,23052.899999999994,1009,1.3875941752176046,14.0862568774774,16,64.1,54.4,80.6,39.8,6,False,71,90,0.1
214,4.298834580425145,36937.60000000064,3300,1.3062057531294031,14.775439725075232,25191.400000000016,1200,1.4426564235208117,20.815506960677236,14,8.4,52.7,93.0,3.4,4,False,40,41,0.1
362,4.289064626263334,35970.70000000057,3312,1.322846341774267,12.467714186397105,24228.700000000048,1209,1.4566033895621973,19.038427255011527,18,14.0,52.0,88.6,9.0,3,False,71,41,0.1
529,4.262556562861639,37122.60000000044,2376,1.3226825980040635,13.107303146739813,24155.000000000007,844,1.4556154533897199,21.25528385681414,12,18.2,58.6,85.6,5.9,12,False,71,41,0.1
230,4.259421624453091,36594.60000000038,2189,1.299580280124337,25.984210270825507,29681.000000000015,707,1.5657273773853897,20.301285940482718,16,74.1,38.7,91.4,20.3,2,False,71,90,0.1
111,4.258561697274439,39560.80000000025,1660,1.3544293364080964,18.57155689967497,24941.300000000017,591,1.4749710537942373,21.11349368617608,12,79.8,50.8,89.1,45.3,12,False,90,35,0.1
285,4.255322581478026,35779.4000000004,1894,1.3738419117454994,10.930564831801506,22974.10000000002,679,1.514143701800637,17.580604142530106,16,17.7,56.4,94.3,12.7,12,False,55,20,0.1
479,4.244829975475714,34971.800000000556,3094,1.3292228875795136,11.25389440977913,23034.600000000028,1125,1.4514808869445563,15.563549758719175,16,4.1,54.6,90.3,-0.9,4,False,90,20,0.1
58,4.223434023357951,36728.80000000037,2150,1.3348079463195908,14.981291342029374,23746.499999999993,789,1.4495272169690774,16.938638923501273,16,66.1,52.8,91.5,39.7,8,False,71,20,0.1
80,4.217812912816853,37795.60000000021,1517,1.4088295836700075,11.661431214768221,21566.599999999995,552,1.4771266122430924,16.840288985791318,21,14.8,52.3,89.2,9.8,12,False,55,55,0.1
313,4.20536952876066,36336.800000000345,2827,1.2793329243674507,23.243233886393156,26788.40000000001,972,1.4698128528410566,14.6271799704489,16,62.7,41.6,88.4,47.9,2,False,150,55,0.1
510,4.202968302801518,36879.80000000048,2969,1.2805215233740057,13.650784678108261,22762.099999999973,1071,1.35184143246226,16.109164813941522,12,67.3,53.8,86.6,33.0,6,False,120,20,0.1
386,4.201546659250102,35042.40000000049,2947,1.3094429260840592,13.047043336936524,24780.30000000001,1082,1.4606209198923363,20.95357887339754,21,62.6,50.0,91.3,33.1,3,False,40,35,0.1
8,4.200321956753852,38254.800000000396,1948,1.3721903157042674,11.1972628366067,21749.199999999986,723,1.4110595141570328,19.80733531918566,18,73.5,55.5,78.3,48.6,12,False,90,20,0.1
