trial,net,trades,pf,fast_ema,slow_ema,trend_leg_bars,min_ema_gap_pips,cross_cooldown,pullback_cooldown,use_pullback,pullback_touch,atr_period,atr_sl_mult,atr_tp_mult,max_bars_in_trade,htf_ema_period,use_htf_filter,use_adx_filter,adx_period,adx_min,session_start,session_end,max_spread_pips,lot_size,initial_balance
1,-3117.4199999999983,737,0.6817202149349794,10,46,48,1.5,8,3,True,0,20,2.71,6.36,64,200,True,False,14,18.0,8,22,6.0,0.1,10000.0
2,178.10999999999513,78,1.1675588210391639,10,46,48,1.5,8,3,False,0,20,2.71,6.36,64,200,True,False,14,18.0,8,22,6.0,0.1,10000.0
3,-3117.4199999999983,737,0.6817202149349794,10,46,48,1.5,8,3,True,0,20,2.71,6.36,64,200,True,False,14,18.0,8,22,6.0,0.1,10000.0
4,-2075.7300000000223,514,0.6991599732165374,10,46,64,1.5,8,2,True,1,20,2.71,6.36,64,200,True,False,14,18.0,8,22,6.0,0.1,10000.0
5,-2699.9400000000005,766,0.7313396300763013,10,46,56,1.5,6,3,True,0,20,2.71,6.36,64,200,True,False,14,18.0,8,22,6.0,0.1,10000.0
6,-221.02000000000044,89,0.8285523682454968,8,38,72,1.1,7,3,False,0,14,2.71,4.6,48,100,True,True,14,20.8,7,22,6.0,0.1,10000.0
7,-2286.7599999999893,636,0.6993795025503496,11,46,32,2.0,7,5,True,0,14,2.26,6.79,48,100,True,False,14,18.9,8,22,6.0,0.1,10000.0
8,-1149.9000000000178,209,0.598209606071406,11,40,56,0.7,8,4,False,0,14,2.05,5.18,80,100,True,False,14,19.0,8,22,6.0,0.1,10000.0
9,-164.45999999999913,61,0.8305776184442315,10,48,40,1.8,6,3,False,1,14,2.2,5.64,64,200,True,False,14,22.6,8,22,8.0,0.1,10000.0
10,-249.66999999999462,63,0.7609715467391721,8,44,64,2.3,8,3,False,0,20,3.06,6.43,64,200,True,False,14,22.0,8,22,8.0,0.1,10000.0
11,-1498.5100000000002,372,0.6994878191604564,10,44,40,1.5,6,2,True,0,14,2.95,5.77,48,200,True,True,14,24.0,8,21,6.0,0.1,10000.0
12,-4801.090000000018,1076,0.6958667540006613,12,46,72,1.2,8,5,True,0,14,3.14,7.13,80,100,False,False,14,23.0,8,21,6.0,0.1,10000.0
13,-99.16000000000531,38,0.8244116657517752,10,42,64,2.4,10,2,False,0,20,2.02,7.29,80,100,True,False,14,23.0,7,21,8.0,0.1,10000.0
14,-1238.5700000000088,239,0.6659375337145323,8,42,40,1.8,10,3,True,1,20,3.16,7.29,64,200,True,True,14,21.2,8,22,6.0,0.1,10000.0
15,-442.5999999999949,160,0.7905982097235101,9,44,32,1.2,10,3,False,0,14,2.09,6.39,64,100,True,False,14,16.6,7,22,8.0,0.1,10000.0
16,-3776.7900000000027,901,0.6716180297551302,9,42,72,2.4,10,5,True,0,20,2.23,4.79,96,200,True,False,14,19.7,7,21,6.0,0.1,10000.0
17,-5189.129999999993,1342,0.662650077622994,11,48,32,1.0,7,5,True,0,14,2.33,5.25,48,200,False,False,14,16.4,7,21,6.0,0.1,10000.0
18,-1494.159999999998,429,0.7806328666041229,9,50,56,1.5,9,2,True,0,14,3.18,5.3,96,200,True,True,14,23.7,8,21,6.0,0.1,10000.0
19,-721.4000000000015,121,0.6026482770776416,10,44,32,1.7,10,2,False,0,14,2.06,5.93,64,100,False,False,14,22.8,7,21,6.0,0.1,10000.0
