side,open_time,close_time,profit,exit_reason
BUY,2023-05-18 17:00:00,2023-05-19 04:00:00,4.01,trail
BUY,2023-05-24 17:00:00,2023-05-25 09:00:00,7.7,trail
BUY,2023-05-31 17:00:00,2023-05-31 18:00:00,21.8,trail
SELL,2023-06-08 15:00:00,2023-06-08 16:00:00,71.2,trail
SELL,2023-06-08 19:00:00,2023-06-09 08:00:00,8.75,trail
SELL,2023-06-14 15:00:00,2023-06-14 16:00:00,35.78,trail
SELL,2023-06-14 19:00:00,2023-06-14 21:00:00,-32.01,sl
SELL,2023-06-15 17:00:00,2023-06-16 08:00:00,45.95,tp
SELL,2023-07-07 15:00:00,2023-07-07 16:00:00,24.16,trail
SELL,2023-07-07 19:00:00,2023-07-10 00:00:00,7.23,trail
SELL,2023-07-10 21:00:00,2023-07-11 09:00:00,29.36,trail
SELL,2023-07-11 17:00:00,2023-07-11 18:00:00,2.76,trail
SELL,2023-07-11 21:00:00,2023-07-12 05:00:00,13.36,trail
SELL,2023-07-12 15:00:00,2023-07-12 16:00:00,87.92,trail
SELL,2023-07-12 19:00:00,2023-07-13 08:00:00,12.44,trail
SELL,2023-07-13 17:00:00,2023-07-14 08:00:00,14.83,trail
SELL,2023-07-26 21:00:00,2023-07-26 22:00:00,21.99,trail
SELL,2023-08-04 17:00:00,2023-08-07 02:00:00,-35.69,sl
BUY,2023-08-24 15:00:00,2023-08-25 00:00:00,19.3,trail
BUY,2023-08-25 00:00:00,2023-08-25 09:00:00,10.83,trail
SELL,2023-08-29 17:00:00,2023-08-29 18:00:00,42.0,trail
SELL,2023-08-30 15:00:00,2023-08-30 16:00:00,33.7,trail
BUY,2023-09-01 17:00:00,2023-09-01 18:00:00,18.7,trail
BUY,2023-09-18 15:00:00,2023-09-18 15:30:00,2.83,trail
BUY,2023-09-18 16:00:00,2023-09-18 18:30:00,-14.13,sl
BUY,2023-09-20 20:15:00,2023-09-20 21:00:00,38.66,trail
BUY,2023-09-20 21:15:00,2023-09-20 21:30:00,-22.58,sl
BUY,2023-09-20 22:15:00,2023-09-21 03:15:00,13.9,trail
BUY,2023-09-26 20:15:00,2023-09-26 22:00:00,7.53,trail
BUY,2023-09-26 22:00:00,2023-09-27 00:00:00,-10.14,sl
BUY,2023-09-27 00:00:00,2023-09-27 00:15:00,-14.0,sl
BUY,2023-09-27 16:15:00,2023-09-27 16:30:00,4.49,trail
BUY,2023-09-27 17:15:00,2023-09-27 20:00:00,8.2,trail
BUY,2023-09-27 20:00:00,2023-09-27 20:15:00,6.19,trail
