trial,score,net,trades,pf,daily_ema_period,use_daily_bias,htf_zone_bars,min_break_body_ratio,use_double_trap,trap_lookback,ny_chaos_start,ny_chaos_end,momentum_start,momentum_end,ltf_fast_ema,ltf_slow_ema,entry_mode,atr_period,atr_sl_mult,atr_tp_mult,use_trailing,trail_atr_mult,max_bars_in_trade,extend_hold_in_momentum,use_compression_filter,compress_atr_ratio,compress_lookback,cooldown_bars,max_spread_pips,lot_size,initial_balance
453,4591.050309516106,2632.999999999998,397,3.192540532438441,50,True,16,0.51,False,6,13,14,15,2,8,21,1,14,2.14,3.6,True,1.2,96,True,True,0.7,48,4,8.0,0.1,10000.0
246,4328.801628144681,2431.929999999982,385,3.113600611849367,50,True,16,0.53,False,6,13,15,15,3,8,21,1,14,1.87,4.43,True,1.2,80,True,True,0.7,48,4,8.0,0.1,10000.0
15,4328.6269788895215,2057.7399999999943,464,2.1326427266122105,50,True,16,0.51,True,6,12,14,15,3,8,21,1,14,1.91,4.06,True,1.2,96,True,True,0.7,48,4,8.0,0.1,10000.0
488,4320.1248471670515,2063.929999999993,461,2.1473161674782646,50,True,16,0.51,True,6,13,15,15,3,8,21,1,14,1.92,5.17,True,1.2,96,True,True,0.7,48,4,8.0,0.1,10000.0
597,4127.900507846966,2016.979999999996,430,2.1669299082993434,50,True,16,0.54,True,6,12,15,15,2,8,21,1,14,2.06,3.8,True,1.2,96,True,True,0.7,48,4,8.0,0.1,10000.0
530,4084.6267456058335,1983.4500000000007,429,2.200911832019472,50,True,16,0.56,True,6,13,14,15,3,8,21,1,14,1.85,5.32,True,1.2,96,True,True,0.7,48,4,8.0,0.1,10000.0
492,3929.465937388707,2327.6199999999953,326,3.447858825509002,50,True,16,0.59,False,6,13,14,15,3,8,21,1,14,2.06,4.69,True,1.2,96,True,True,0.7,48,4,8.0,0.1,10000.0
522,3918.7581845804943,1899.4399999999969,412,2.1847434897863716,50,True,20,0.51,True,6,12,15,15,2,8,21,1,14,1.92,4.39,True,1.2,120,True,True,0.7,48,4,8.0,0.1,10000.0
748,3877.0776235336552,1867.3000000000047,411,2.1343851186751635,50,True,16,0.57,True,6,13,15,15,2,8,21,1,14,1.9,3.67,True,1.2,120,True,True,0.7,48,4,8.0,0.1,10000.0
217,3860.430914377547,2417.119999999999,294,4.5952462405735455,50,True,16,0.54,False,6,13,14,15,2,8,21,1,14,2.08,4.64,True,1.2,120,True,True,0.7,48,6,8.0,0.1,10000.0
491,3829.56324391871,2153.7799999999843,341,3.14321395520086,50,True,24,0.51,False,6,12,15,15,2,8,21,1,14,1.67,4.69,True,1.2,120,True,True,0.7,48,4,8.0,0.1,10000.0
666,3827.922740894914,1959.1999999999953,380,2.4341556255032577,50,True,16,0.51,True,6,12,15,15,3,8,21,1,14,1.78,5.13,True,1.2,120,True,True,0.7,48,6,8.0,0.1,10000.0
205,3808.521182191435,2215.489999999996,324,3.4135455476392793,50,True,20,0.57,False,6,12,15,15,3,8,21,1,14,1.78,5.34,True,1.2,80,True,True,0.7,48,4,8.0,0.1,10000.0
706,3763.627290419309,1838.7000000000025,394,2.1774160497938064,50,True,20,0.54,True,6,12,15,15,2,8,21,1,14,1.94,3.93,True,1.2,80,True,True,0.7,48,4,8.0,0.1,10000.0
